Pos;1;2;3;4;5;Team;Month;Year
LWR;Chase, Ja'marr;Irwin, Trenton;Lassiter Ii,;Jackson, Shedrick;0;CIN;7;2023
RWR;Higgins, Tee;Iosivas, Andrei;Morgan, Stanley;Carter, Malachi;0;CIN;7;2023
SWR;Boyd, Tyler;Jones, Charlie;Taylor, Trent;Hippenhammer, Mac;0;CIN;7;2023
LWR;Cooper, Amari;Tillman, Cedric;Schwartz, Anthony;Woods Ii,;Henry, Ra'shaun;CLE;7;2023
RWR;Peoples-jones, Donovan;Goodwin, Marquise;Bell, David;Baldwin, Daylen;0;CLE;7;2023
SWR;Moore, Elijah;Grant Sr.,;Darden, Jaelon;Harley Jr.,;0;CLE;7;2023
LWR;Johnson, Diontae;Boykin, Miles;White, Cody;Chisena, Dan;0;PIT;7;2023
RWR;Pickens, George;Butler, Hakeem;Bradley, Ja'marcus;Fitzpatrick, Dez;0;PIT;7;2023
SWR;Robinson Ii,;Austin Iii,;Olszewski, Gunner;Byrd, Jordan;0;PIT;7;2023
LWR;Moore, Dj;St. Brown,;Pettis, Dante;Reed, Joe;0;CHI;7;2023
RWR;Claypool, Chase;Jones Jr.,;Fountain, Daurice;Pitts, Thyrick;0;CHI;7;2023
SWR;Mooney, Darnell;Scott, Tyler;Webster, Nsimba;Cruickshank, Aron;0;CHI;7;2023
LWR;Reynolds, Josh;Green, Antoine;Cota, Chase;Drummond, Dylan;0;DET;7;2023
RWR;Jones Jr.,;Alexander, Maurice;Benson, Trinity;0;0;DET;7;2023
SWR;St. Brown,;Raymond, Kalif;Kennedy, Tom;0;0;DET;7;2023
LWR;Watson, Christian;Wicks, Dontayvion;Cotton, Jeff;Watts, Duece;0;GB;7;2023
RWR;Doubs, Romeo;Heath, Malik;Dubose, Grant;Bonds, Jadakis;0;GB;7;2023
SWR;Reed, Jayden;Toure, Samori;Melton, Bo;0;0;GB;7;2023
LWR;Jefferson, Justin;Reagor, Jalen;Jackson, Trishton;Knowles, Malik;Maag, Garett;MIN;7;2023
RWR;Addison, Jordan;Nailor, Jalen;Proehl, Blake;Johnson Iii,;0;MIN;7;2023
SWR;Osborn, K.j.;Powell, Brandon;Thomas, Thayer;Jackson, Lucky;0;MIN;7;2023
LWR;Collins, Nico;Hutchinson, Xavier;Rodgers, Amari;Wayne, Jared;0;HOU;7;2023
RWR;Metchie Iii,;Brown, Noah;Camp, Jalen;Bachman, Alex;0;HOU;7;2023
SWR;Woods, Robert;Dell, Tank;Sims, Steven;Johnson Iii,;Matthews, Jesse;HOU;7;2023
LWR;Pittman Jr.,;Strachan, Mike;Perriman, Breshad;Winfree, Juwann;King, Johnny;IND;7;2023
RWR;Pierce, Alec;Dulin, Ashton;Smith, Vyncint;Turner, Malik;Case, Kody;IND;7;2023
SWR;Mckenzie, Isaiah;Downs, Josh;Fernea, Ethan;Scott, Zavier;0;IND;7;2023
LWR;Ridley, Calvin;Jones, Tim;Williams, Seth;Cooks, Elijah;0;JAX;7;2023
RWR;Jones, Zay;Austin Jr.,;Harris, Jacob;Jenkins, Jaray;0;JAX;7;2023
SWR;Kirk, Christian;Agnew, Jamal;Washington, Parker;Pryor, Kendric;0;JAX;7;2023
LWR;Burks, Treylon;Mcmath, Racey;Copeland, Jacob;Harrison, Tre'shaun;0;TEN;7;2023
RWR;Westbrook-ikhine, Nick;Dowell, Colton;Roberson Jr.,;Holmes, Gavin;0;TEN;7;2023
SWR;Philips, Kyle;Moore, Chris;Kinsey, Mason;Jackson, Kearis;0;TEN;7;2023
LWR;London, Drake;Darby, Frank;Arcega-whiteside, J.j.;Blair, Chris;0;ATL;7;2023
RWR;Hollins, Mack;Hodge, Khadarel;Harris, Keilahn;Bolden, Slade;0;ATL;7;2023
SWR;Miller, Scott;Hart, Penny;Ali, Josh;Malone, Xavier;0;ATL;7;2023
LWR;Marshall Jr.,;Mingo, Jonathan;Wright, Derek;Jennings, Gary;0;CAR;7;2023
RWR;Chark Jr.,;Shenault Jr.,;Byrd, Damiere;Stevenson, Marquez;0;CAR;7;2023
SWR;Thielen, Adam;Smith, Shi;Saunders, C.j.;Vann, Josh;0;CAR;7;2023
LWR;Thomas, Michael;Edwards, Bryan;Kirkwood, Keith;Davis, Shaquan;0;NO;7;2023
RWR;Olave, Chris;Perry, A.t.;Merritt, Kirk;Baker, Kawaan;0;NO;7;2023
SWR;Shaheed, Rashid;Smith, Tre'quan;Washington, James;Bowden, Lynn;Coutee, Keke;NO;7;2023
LWR;Evans, Mike;Geiger, Kaylon;Warner, Kade;0;0;TB;7;2023
RWR;Godwin, Chris;Thompkins, Deven;Moore, David;Miller, Ryan;0;TB;7;2023
SWR;Gage, Russell;Palmer, Trey;Jarrett, Rakim;Barber, Taye;0;TB;7;2023
LWR;Sutton, Courtland;Callaway, Marquez;Virgil, Jalen;Johnson, Brandon;0;DEN;7;2023
RWR;Patrick, Tim;Mims Jr.,;Hinton, Kendall;Grimes, Taylor;0;DEN;7;2023
SWR;Jeudy, Jerry;Hamler, Kj;Humphrey, Lil'jordan;Washington, Montrell;0;DEN;7;2023
LWR;Valdes-scantling, Marquez;Watson, Justin;Powell, Cornell;Ross, John;Crawford, Kekoa;KC;7;2023
RWR;Toney, Kadarius;Rice, Rashee;Ross, Justyn;Fryfogle, Ty;0;KC;7;2023
SWR;Moore, Skyy;James, Richie;Smith-marsette, Ihmir;Ealy, Jerrion;Remigio, Nikko;KC;7;2023
LWR;Adams, Davante;Cole Sr.,;Lacy, Chris;Wilkerson, Kristian;0;LV;7;2023
RWR;Meyers, Jakobi;Dorsett, Phillip;Sims, Cam;0;0;LV;7;2023
SWR;Renfrow, Hunter;Carter, Deandre;Tucker, Tre;Turner, Dj;0;LV;7;2023
LWR;Williams, Mike;Guyton, Jalen;Doss, Keelan;0;0;LAC;7;2023
RWR;Johnston, Quentin;Palmer, Joshua;Hightower, John;Wilson, Pokey;0;LAC;7;2023
SWR;Allen, Keenan;Davis, Derius;Bynum, Terrell;Shepherd, Darrius;0;LAC;7;2023
LWR;Brown, Marquise;Wilson, Michael;Arias, Daniel;0;0;ARZ;7;2023
RWR;Moore, Rondale;Baccellia, Andre;Smith, Brandon;0;0;ARZ;7;2023
SWR;Dortch, Greg;Pascal, Zach;Cobbs, Brian;0;0;ARZ;7;2023
LWR;Aiyuk, Brandon;Gray, Danny;Martin, Tay;Winstead, Isaiah;0;SF;7;2023
RWR;Samuel, Deebo;Conley, Chris;Snead Iv,;Newsome, Dazz;0;SF;7;2023
SWR;Jennings, Jauan;Mccloud Iii,;Bell, Ronnie;0;0;SF;7;2023
LWR;Metcalf, Dk;Young, Dareke;Landers, Matt;Bobo, Jake;0;SEA;7;2023
RWR;Lockett, Tyler;Thompson, Cody;Winston Jr.,;Hall, John;0;SEA;7;2023
SWR;Smith-njigba, Jaxon;Eskridge, Dee;Johnson, Cade;Lindsey, Tyjon;0;SEA;7;2023
