,Def Interceptions_Int,Def Interceptions_PD,Def Interceptions_TD,Def Interceptions_Yds,Def. Snaps_Num,Def. Snaps_Pct,Fumbles_FF,Fumbles_FL,Fumbles_FR,Fumbles_Fmb,Fumbles_TD,Fumbles_Yds,Kick Returns_Rt,Kick Returns_TD,Kick Returns_Y/Rt,Kick Returns_Yds,Name_,Off. Snaps_Num,Off. Snaps_Pct,Passing_AY/A,Passing_Att,Passing_Cmp,Passing_Cmp%,Passing_Int,Passing_Rate,Passing_Sk,Passing_TD,Passing_Y/A,Passing_Yds,Passing_Yds.1,Pos_,Punt Returns_Ret,Punt Returns_TD,Punt Returns_Y/R,Punt Returns_Yds,Receiving_Ctch%,Receiving_Rec,Receiving_TD,Receiving_Tgt,Receiving_Y/R,Receiving_Y/Tgt,Receiving_Yds,Rushing_Att,Rushing_TD,Rushing_Y/A,Rushing_Yds,ST Snaps_Num,ST Snaps_Pct,Scoring_2PM,Scoring_Pts,Scoring_Sfty,Scoring_TD,Tackles_Ast,Tackles_Comb,Tackles_QBHits,Tackles_Solo,Tackles_TFL,Unnamed: 0_level_0_Rk,Unnamed: 10_level_0_GS,Unnamed: 10_level_0_Sk,Unnamed: 11_level_0_Sk,Unnamed: 14_level_0_Sk,Unnamed: 15_level_0_Sk,Unnamed: 15_level_0_Status,Unnamed: 17_level_0_Status,Unnamed: 18_level_0_Sk,Unnamed: 18_level_0_Status,Unnamed: 19_level_0_Sk,Unnamed: 19_level_0_Status,Unnamed: 1_level_0_Year,Unnamed: 20_level_0_Sk,Unnamed: 20_level_0_Status,Unnamed: 21_level_0_Sk,Unnamed: 21_level_0_Status,Unnamed: 22_level_0_Sk,Unnamed: 22_level_0_Status,Unnamed: 23_level_0_Status,Unnamed: 24_level_0_Sk,Unnamed: 24_level_0_Status,Unnamed: 25_level_0_Status,Unnamed: 26_level_0_Sk,Unnamed: 26_level_0_Status,Unnamed: 27_level_0_Status,Unnamed: 28_level_0_Sk,Unnamed: 28_level_0_Status,Unnamed: 29_level_0_Status,Unnamed: 2_level_0_Date,Unnamed: 30_level_0_Status,Unnamed: 31_level_0_Status,Unnamed: 32_level_0_Sk,Unnamed: 32_level_0_Status,Unnamed: 33_level_0_Status,Unnamed: 34_level_0_Status,Unnamed: 35_level_0_Status,Unnamed: 36_level_0_Status,Unnamed: 37_level_0_Status,Unnamed: 38_level_0_Status,Unnamed: 3_level_0_G#,Unnamed: 40_level_0_Status,Unnamed: 41_level_0_Status,Unnamed: 42_level_0_Status,Unnamed: 43_level_0_Sk,Unnamed: 43_level_0_Status,Unnamed: 44_level_0_Status,Unnamed: 45_level_0_Status,Unnamed: 46_level_0_Status,Unnamed: 47_level_0_Status,Unnamed: 4_level_0_Week,Unnamed: 50_level_0_Status,Unnamed: 56_level_0_Status,Unnamed: 5_level_0_Age,Unnamed: 61_level_0_Status,Unnamed: 6_level_0_Tm,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Opp,Unnamed: 9_level_0_Result
539,,,,,,,,,,,,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,"Johnson, Charles",,,,,,,,,,,,,,WR,,,,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,,,,,,,,Injured Reserve,,Injured Reserve,,,,,,3.0,Injured Reserve,,,,,,,,,,,1995.0,,,,,,,,,Injured Reserve,,,,,,,,1996-01-06,,,,,,,,,,,,,,,,,,,,,19.0,,,,,PIT,,BUF,W 40-21
540,,,,,,,,,,,,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,"Johnson, Charles",,,,,,,,,,,,,,WR,,,,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,,,,,,,,Injured Reserve,,Injured Reserve,,,,,,4.0,Injured Reserve,,,,,,,,,,,1995.0,,,,,,,,,Injured Reserve,,,,,,,,1996-01-14,,,,,,,,,,,,,,,,,,,,,20.0,,,,,PIT,,IND,W 20-16
541,,,,,,,,,,,,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,"Johnson, Charles",,,,,,,,,,,,,,WR,,,,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,,,,,,,,Injured Reserve,,Injured Reserve,,,,,,5.0,Injured Reserve,,,,,,,,,,,1995.0,,,,,,,,,Injured Reserve,,,,,,,,1996-01-28,,,,,,,,,,,,,,,,,,,,,21.0,,,,,PIT,N,DAL,L 17-27
542,,,,,,,,,,,,,0,0,,0,"Johnson, Charles",,,,,,,,,,,,,,WR,,,,,100.0%,5,0,5,21.80,21.80,109,,,,,,,,0,,0,,,,,,6.0,*,,,,,,,,,,,1996.0,,,,,,,,,,,,,,,,,1996-12-29,,,,,,,,,,,17.0,,,,,,,,,,18.0,,,24.361,,PIT,,IND,W 42-14
543,,,,,,,,,,,,,0,0,,0,"Johnson, Charles",,,,,,,,,,,,,,WR,,,,,0.0%,0,0,7,,0.00,0,,,,,,,,0,,0,,,,,,7.0,*,,,,,,,,,,,1996.0,,,,,,,,,,,,,,,,,1997-01-05,,,,,,,,,,,18.0,,,,,,,,,,19.0,,,25.002,,PIT,@,NWE,L 3-28
544,,,,,,,,,,,,,0,0,,0,"Johnson, Charles",,,,,,,,,,,,,,WR,,,,,33.3%,3,0,9,9.33,3.11,28,,,,,,,,0,,0,,,,,,8.0,*,,,,,,,,,,,1997.0,,,,,,,,,,,,,,,,,1998-01-03,,,,,,,,,,,17.0,,,,,,,,,,19.0,,,26.0,,PIT,,NWE,W 7-6
545,,,,,,,,,,,,,0,0,,0,"Johnson, Charles",,,,,,,,,,,,,,WR,,,,,50.0%,3,1,6,11.33,5.67,34,,,,,,,,6,,1,,,,,,9.0,*,,,,,,,,,,,1997.0,,,,,,,,,,,,,,,,,1998-01-11,,,,,,,,,,,18.0,,,,,,,,,,20.0,,,26.008,,PIT,,DEN,L 21-24
546,,,,,,,,,,,,,0,0,,0,"Johnson, Charles",,,,,,,,,,,,,,WR,,,,,71.4%,5,0,7,9.40,6.71,47,,,,,,,,0,,0,,,,,,10.0,*,,,,,,,,,,,2000.0,,,,,,,,,,,,,,,,,2000-12-31,,,,,,,,,,,17.0,,,,,,,,,,18.0,,,28.363,,PHI,,TAM,W 21-3
547,,,,,,,,,,,,,0,0,,0,"Johnson, Charles",,,,,,,,,,,,,,WR,,,,,55.6%,5,0,9,10.60,5.89,53,,,,,,,,0,,0,,,,,,11.0,*,,,,,,,,,,,2000.0,,,,,,,,,,,,,,,,,2001-01-07,,,,,,,,,,,18.0,,,,,,,,,,19.0,,,29.004,,PHI,@,NYG,L 10-20
548,,,,,,,,,,,,,,,,,"Johnson, Charles",,,,,,,,,,,,,,WR,,,,,0.0%,,,,,,,,,,,,,,0,,0,,,,,,12.0,,,,,,,,,,,,2001.0,,,,,,,,,,,,,,,,,2002-01-19,,,,,,,,,,,17.0,,,,,,,,,,19.0,,,30.016,,NWE,,OAK,W 16-13
