TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
JAX,16,"5,855",365.9,"3,593",224.6,"2,262",141.4,417,26.1,2017
BAL,16,"4,886",305.4,"3,030",189.4,"1,856",116,395,24.7,2017
HOU,16,"5,120",320,"3,278",204.9,"1,842",115.1,338,21.1,2017
ATL,16,"6,226",389.1,"4,653",290.8,"1,573",98.3,414,25.9,2018
BUF,16,"4,778",298.6,"2,794",174.6,"1,984",124,269,16.8,2018
CHI,16,"5,502",343.9,"3,564",222.8,"1,938",121.1,421,26.3,2018
CIN,16,"4,972",310.8,"3,290",205.6,"1,682",105.1,368,23,2018
CLE,16,"5,900",368.8,"4,007",250.4,"1,893",118.3,359,22.4,2018
DAL,16,"5,501",343.8,"3,538",221.1,"1,963",122.7,339,21.2,2018
DEN,16,"5,602",350.1,"3,695",230.9,"1,907",119.2,329,20.6,2018
DET,16,"5,236",327.3,"3,576",223.5,"1,660",103.8,324,20.3,2018
GNB,16,"5,905",369.1,"4,238",264.9,"1,667",104.2,376,23.5,2018
TEN,16,"4,998",312.4,"2,975",185.9,"2,023",126.4,310,19.4,2018
IND,16,"6,179",386.2,"4,461",278.8,"1,718",107.4,433,27.1,2018
KAN,16,"6,810",425.6,"4,955",309.7,"1,855",115.9,565,35.3,2018
LVR,16,"5,379",336.2,"3,751",234.4,"1,628",101.8,290,18.1,2018
LAR,16,"6,738",421.1,"4,507",281.7,"2,231",139.4,527,32.9,2018
MIA,16,"4,638",289.9,"2,900",181.3,"1,738",108.6,319,19.9,2018
MIN,16,"5,529",345.6,"4,036",252.3,"1,493",93.3,360,22.5,2018
NWE,16,"6,295",393.4,"4,258",266.1,"2,037",127.3,436,27.3,2018
NOR,16,"6,067",379.2,"4,042",252.6,"2,025",126.6,504,31.5,2018
NYG,16,"5,697",356.1,"4,047",252.9,"1,650",103.1,369,23.1,2018
NYJ,16,"4,787",299.2,"3,165",197.8,"1,622",101.4,333,20.8,2018
PHI,16,"5,845",365.3,"4,275",267.2,"1,570",98.1,367,22.9,2018
ARI,16,"3,865",241.6,"2,523",157.7,"1,342",83.9,225,14.1,2018
PIT,16,"6,453",403.3,"5,008",313,"1,445",90.3,428,26.8,2018
LAC,16,"5,962",372.6,"4,089",255.6,"1,873",117.1,428,26.8,2018
SFO,16,"5,769",360.6,"3,867",241.7,"1,902",118.9,342,21.4,2018
SEA,16,"5,653",353.3,"3,093",193.3,"2,560",160,428,26.8,2018
TAM,16,"6,648",415.5,"5,125",320.3,"1,523",95.2,396,24.8,2018
WAS,16,"4,795",299.7,"3,021",188.8,"1,774",110.9,281,17.6,2018
CAR,16,"5,972",373.3,"3,836",239.8,"2,136",133.5,376,23.5,2018
JAX,16,"4,832",302,"3,109",194.3,"1,723",107.7,245,15.3,2018
BAL,16,"5,999",374.9,"3,558",222.4,"2,441",152.6,389,24.3,2018
