Name;Info
Natson, JoJo;5-7, 153lb (170cm, 69kg) 
Whitney, Isaac;6-2, 204lb (188cm, 92kg) 
Bolden, Victor;5-8, 178lb (173cm, 80kg) 
Samuel, Curtis;5-11, 195lb (180cm, 88kg) 
Ross, John;5-11, 194lb (180cm, 87kg) 
Gentry, Tanner;6-1, 193lb (185cm, 87kg) 
Coley, Stacy;6-0, 195lb (183cm, 88kg) 
McCaffrey, Max;6-5, 309lb (196cm, 140kg) 
Leslie, Jordan;6-1, 205lb (185cm, 92kg) 
Powell, Brandon;5-8, 188lb (173cm, 85kg) 
Callaway, Antonio;5-11, 200lb (180cm, 90kg) 
Ridley, Calvin;6-1, 190lb (185cm, 86kg) 
Burnett, Deontay;6-0, 186lb (183cm, 84kg) 
James, Richie;5-9, 185lb (175cm, 83kg) 
Moore, D.J.;6-0, 210lb (183cm, 95kg) 
Gallup, Michael;6-1, 198lb (185cm, 89kg) 
Washington, James;5-11, 213lb (180cm, 96kg) 
Patrick, Tim;6-4, 212lb (193cm, 96kg) 
Valdes-Scantling, Marquez;6-4, 206lb (193cm, 93kg) 
Wims, Javon;6-2, 221lb (188cm, 100kg) 
Smith, Vyncint;6-3, 202lb (190cm, 91kg) 
Kumerow, Jake;6-4, 209lb (193cm, 94kg) 
Cracraft, River;6-0, 198lb (183cm, 89kg) 
Sherfield, Trent;6-1, 219lb (185cm, 99kg) 
Sutton, Courtland;6-4, 216lb (193cm, 97kg) 
Gage, Russell;6-0, 184lb (183cm, 83kg) 
Dieter, Gehrig;6-3, 207lb (190cm, 93kg) 
Tate, Auden;6-5, 228lb (196cm, 103kg) 
Ateman, Marcell;6-4, 215lb (193cm, 97kg) 
Lazard, Allen;6-5, 227lb (196cm, 102kg) 
McCloud, Ray-Ray;5-9, 190lb (175cm, 86kg) 
Kemp, Marcus;6-4, 208lb (193cm, 94kg) 
Zylstra, Brandon;6-2, 215lb (188cm, 97kg) 
Carr, Austin;6-1, 195lb (185cm, 88kg) 
Hodge, KhaDarel;5-11, 183lb (180cm, 83kg) 
Kirkwood, Keith;6-3, 210lb (190cm, 95kg) 
Ratley, Damion;6-2, 200lb (188cm, 90kg) 
Pascal, Zach;6-2, 214lb (188cm, 97kg) 
Pettis, Dante;6-1, 195lb (185cm, 88kg) 
Tolliver, Jalen;6-3, 210lb (190cm, 95kg) 
Batson, Cameron;5-8, 175lb (173cm, 79kg) 
Beebe, Chad;5-10, 183lb (178cm, 83kg) 
Turner, Malik;6-2, 200lb (188cm, 90kg) 
Kirk, Christian;6-2, 235lb (188cm, 106kg) 
Hatcher, Keon;6-1, 215lb (185cm, 97kg) 
Quinn, Trey;6-0, 200lb (183cm, 90kg) 
Coutee, Keke;5-11, 180lb (180cm, 81kg) 
Henderson, Quadree;5-8, 192lb (173cm, 87kg) 
Phillips, Cam;6-3, 242lb (190cm, 109kg) 
White, Tim;5-11, 185lb (180cm, 83kg) 
Grant, Janarion;5-7, 171lb (170cm, 77kg) 
Samuel, Deebo;6-0, 215lb (183cm, 97kg) 
Renfrow, Hunter;5-10, 185lb (178cm, 83kg) 
Williams, Duke;5-11, 201lb (180cm, 91kg) 
Sims Jr., Steven;5-10, 176lb (178cm, 79kg) 
Ford, Isaiah;6-2, 194lb (188cm, 87kg) 
Hardman, Mecole;5-10, 187lb (178cm, 84kg) 
Slayton, Darius;6-0, 190lb (183cm, 86kg) 
Ridley, Riley;6-1, 200lb (185cm, 90kg) 
Hollins, Alexander;6-1, 166lb (185cm, 75kg) 
Johnson, Olabisi;6-0, 203lb (183cm, 92kg) 
Harmon, Kelvin;6-2, 215lb (188cm, 97kg) 
Brown, Marquise;6-5, 214lb (196cm, 97kg) 
Lacy, Chris;6-3, 206lb (190cm, 93kg) 
Gafford, Rico;5-10, 185lb (178cm, 83kg) 
Sims, Cam;6-5, 220lb (196cm, 99kg) 
Berrios, Braxton;5-9, 190lb (175cm, 86kg) 
Ursua, John;5-9, 182lb (175cm, 82kg) 
