,Def Interceptions_Int,Def Interceptions_PD,Def Interceptions_TD,Def Interceptions_Yds,Def. Snaps_Num,Def. Snaps_Pct,Fumbles_FF,Fumbles_FL,Fumbles_FR,Fumbles_Fmb,Fumbles_TD,Fumbles_Yds,Kick Returns_Rt,Kick Returns_TD,Kick Returns_Y/Rt,Kick Returns_Yds,Name_,Off. Snaps_Num,Off. Snaps_Pct,Passing_AY/A,Passing_Att,Passing_Cmp,Passing_Cmp%,Passing_Int,Passing_Rate,Passing_Sk,Passing_TD,Passing_Y/A,Passing_Yds,Passing_Yds.1,Pos_,Punt Returns_Ret,Punt Returns_TD,Punt Returns_Y/R,Punt Returns_Yds,Receiving_Ctch%,Receiving_Rec,Receiving_TD,Receiving_Tgt,Receiving_Y/R,Receiving_Y/Tgt,Receiving_Yds,Rushing_Att,Rushing_TD,Rushing_Y/A,Rushing_Yds,ST Snaps_Num,ST Snaps_Pct,Scoring_2PM,Scoring_Pts,Scoring_TD,Tackles_Ast,Tackles_Comb,Tackles_QBHits,Tackles_Solo,Tackles_TFL,Unnamed: 0_level_0_Rk,Unnamed: 10_level_0_GS,Unnamed: 11_level_0_Sk,Unnamed: 15_level_0_Sk,Unnamed: 16_level_0_Status,Unnamed: 17_level_0_Status,Unnamed: 18_level_0_Sk,Unnamed: 18_level_0_Status,Unnamed: 1_level_0_Year,Unnamed: 20_level_0_Sk,Unnamed: 20_level_0_Status,Unnamed: 21_level_0_Sk,Unnamed: 21_level_0_Status,Unnamed: 22_level_0_Sk,Unnamed: 23_level_0_Status,Unnamed: 24_level_0_Sk,Unnamed: 24_level_0_Status,Unnamed: 25_level_0_Sk,Unnamed: 26_level_0_Sk,Unnamed: 26_level_0_Status,Unnamed: 27_level_0_Status,Unnamed: 28_level_0_Status,Unnamed: 29_level_0_Status,Unnamed: 2_level_0_Date,Unnamed: 30_level_0_Status,Unnamed: 31_level_0_Status,Unnamed: 32_level_0_Status,Unnamed: 33_level_0_Status,Unnamed: 34_level_0_Status,Unnamed: 35_level_0_Sk,Unnamed: 36_level_0_Status,Unnamed: 37_level_0_Status,Unnamed: 38_level_0_Status,Unnamed: 3_level_0_G#,Unnamed: 40_level_0_Status,Unnamed: 44_level_0_Status,Unnamed: 4_level_0_Week,Unnamed: 53_level_0_Status,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Tm,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Opp,Unnamed: 9_level_0_Result
459,,,,,,,,,,,,,,,,,"Tamme, Jacob",,,,,,,,,,,,,,TE,,,,,62.5%,5,0,8,9.20,5.75,46,,,,,,,,0,0,0,0,,0,,5.0,*,,,,,,,2010.0,0.0,,,,,,,,,,,,,,2011-01-08,,,,,,,,,,17.0,,,18.0,,25.299,IND,,NYJ,L 16-17
460,,,,,0,0%,,,,,,,,,,,"Tamme, Jacob",20,21%,,,,,,,,,,,,TE,,,,,100.0%,3,0,3,14.67,14.67,44,,,,,11,29%,,0,0,0,1,0,1,0,6.0,,,,,,,,2012.0,0.0,,,,,,,,,,,,,,2013-01-12,,,,,,,,,,17.0,,,19.0,,27.303,DEN,,BAL,L 35-38
461,,,,,0,0%,,,,,,,,,,,"Tamme, Jacob",7,10%,,,,,,,,,,,,TE,,,,,0.0%,,,,,,,,,,,13,59%,,0,0,,,,,,7.0,,,,,,,,2013.0,0.0,,,,,,,,,,,,,,2014-01-12,,,,,,,,,,17.0,,,19.0,,28.303,DEN,,SDG,W 24-17
462,,,,,0,0%,,,,,,,,,,,"Tamme, Jacob",14,18%,,,,,,,,,,,,TE,,,,,100.0%,2,1,2,12.00,12.00,24,,,,,18,78%,,6,1,0,0,,0,,8.0,,,,,,,,2013.0,0.0,,,,,,,,,,,,,,2014-01-19,,,,,,,,,,18.0,,,20.0,,28.31,DEN,,NWE,W 26-16
463,,,,,0,0%,,,,,,,,,,,"Tamme, Jacob",4,6%,,,,,,,,,,,,TE,,,,,100.0%,2,0,2,4.50,4.50,9,,,,,14,67%,,0,0,0,1,0,1,0,9.0,,,,,,,,2013.0,0.0,,,,,,,,,,,,,,2014-02-02,,,,,,,,,,19.0,,,21.0,,28.324,DEN,N,SEA,L 8-43
464,,,,,0,0%,,,,,,,,,,,"Tamme, Jacob",7,10%,,,,,,,,,,,,TE,,,,,0.0%,,,,,,,,,,,19,70%,,0,0,,,,,,10.0,,,,,,,,2014.0,0.0,,,,,,,,,,,,,,2015-01-11,,,,,,,,,,17.0,,,19.0,,29.302,DEN,,IND,L 13-24
465,,,,,Injured Reserve,Injured Reserve,,,,,,,,,,,"Tamme, Jacob",Injured Reserve,Injured Reserve,,,,,,,,,,,,TE,,,,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,,,,,Injured Reserve,Injured Reserve,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,11.0,Injured Reserve,,,,,,,2016.0,Injured Reserve,,,,,,,,,,,,,,2017-01-14,,,Injured Reserve,,,,,,,,,,19.0,,,ATL,,SEA,W 36-20
466,,,,,Injured Reserve,Injured Reserve,,,,,,,,,,,"Tamme, Jacob",Injured Reserve,Injured Reserve,,,,,,,,,,,,TE,,,,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,,,,,Injured Reserve,Injured Reserve,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,12.0,Injured Reserve,,,,,,,2016.0,Injured Reserve,,,,,,,,,,,,,,2017-01-22,,,Injured Reserve,,,,,,,,,,20.0,,,ATL,,GNB,W 44-21
467,,,,,Injured Reserve,Injured Reserve,,,,,,,,,,,"Tamme, Jacob",Injured Reserve,Injured Reserve,,,,,,,,,,,,TE,,,,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,,,,,Injured Reserve,Injured Reserve,,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,13.0,Injured Reserve,,,,,,,2016.0,Injured Reserve,,,,,,,,,,,,,,2017-02-05,,,Injured Reserve,,,,,,,,,,21.0,,,ATL,N,NWE,L 28-34
468,,,,,,,,,,,,,,,,,"Tamme, Jacob",,,,,,,,,,,,,,TE,,,,,80.0%,12,1,15,10.25,8.20,123,,,,,,,,6,1,2,4,0,2,0,,,,,,,,,,0.0,,,,,,,,,,,,,,10 Games,,,,,,,,,,,,,,,,,,,4-6-0
