TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
NWE,16,"5,431",339.4,"3,851",240.7,"1,580",98.8,315,19.7,2015
NOR,16,"6,620",413.8,"4,544",284,"2,076",129.8,476,29.8,2015
NYG,16,"6,725",420.3,"4,783",298.9,"1,942",121.4,442,27.6,2015
NYJ,16,"5,098",318.6,"3,763",235.2,"1,335",83.4,314,19.6,2015
PHI,16,"6,426",401.6,"4,273",267.1,"2,153",134.6,430,26.9,2015
ARI,16,"5,147",321.7,"3,687",230.4,"1,460",91.3,313,19.6,2015
PIT,16,"5,809",363.1,"4,350",271.9,"1,459",91.2,319,19.9,2015
LAC,16,"5,791",361.9,"3,786",236.6,"2,005",125.3,398,24.9,2015
SFO,16,"6,199",387.4,"4,179",261.2,"2,020",126.3,387,24.2,2015
SEA,16,"4,668",291.8,"3,364",210.3,"1,304",81.5,277,17.3,2015
TAM,16,"5,446",340.4,"3,840",240,"1,606",100.4,417,26.1,2015
WAS,16,"6,090",380.6,"4,128",258,"1,962",122.6,379,23.7,2015
CAR,16,"5,167",322.9,"3,752",234.5,"1,415",88.4,308,19.3,2015
JAX,16,"6,000",375,"4,291",268.2,"1,709",106.8,448,28,2015
BAL,16,"5,398",337.4,"3,737",233.6,"1,661",103.8,401,25.1,2015
HOU,16,"4,963",310.2,"3,366",210.4,"1,597",99.8,313,19.6,2015
ATL,16,"5,939",371.2,"4,267",266.7,"1,672",104.5,406,25.4,2016
BUF,16,"5,712",357,"3,582",223.9,"2,130",133.1,378,23.6,2016
CHI,16,"5,548",346.8,"3,598",224.9,"1,950",121.9,399,24.9,2016
CIN,16,"5,612",350.8,"3,800",237.5,"1,812",113.3,315,19.7,2016
CLE,16,"6,279",392.4,"3,996",249.8,"2,283",142.7,452,28.3,2016
DAL,16,"5,503",343.9,"4,167",260.4,"1,336",83.5,306,19.1,2016
DEN,16,"5,057",316.1,"2,972",185.8,"2,085",130.3,297,18.6,2016
DET,16,"5,676",354.8,"3,975",248.4,"1,701",106.3,358,22.4,2016
GNB,16,"5,823",363.9,"4,308",269.3,"1,515",94.7,388,24.3,2016
TEN,16,"5,720",357.5,"4,307",269.2,"1,413",88.3,378,23.6,2016
IND,16,"6,126",382.9,"4,200",262.5,"1,926",120.4,392,24.5,2016
KAN,16,"5,896",368.5,"3,958",247.4,"1,938",121.1,311,19.4,2016
LVR,16,"6,001",375.1,"4,120",257.5,"1,881",117.6,385,24.1,2016
LAR,16,"5,392",337,"3,732",233.3,"1,660",103.8,394,24.6,2016
MIA,16,"6,122",382.6,"3,875",242.2,"2,247",140.4,380,23.8,2016
MIN,16,"5,038",314.9,"3,327",207.9,"1,711",106.9,307,19.2,2016
NWE,16,"5,223",326.4,"3,806",237.9,"1,417",88.6,250,15.6,2016
NOR,16,"6,006",375.4,"4,380",273.8,"1,626",101.6,454,28.4,2016
NYG,16,"5,435",339.7,"4,018",251.1,"1,417",88.6,284,17.8,2016
NYJ,16,"5,479",342.4,"3,898",243.6,"1,581",98.8,409,25.6,2016
PHI,16,"5,484",342.8,"3,832",239.5,"1,652",103.3,331,20.7,2016
ARI,16,"4,883",305.2,"3,365",210.3,"1,518",94.9,362,22.6,2016
PIT,16,"5,482",342.6,"3,882",242.6,"1,600",100,327,20.4,2016
LAC,16,"5,554",347.1,"3,987",249.2,"1,567",97.9,423,26.4,2016
SFO,16,"6,502",406.4,"3,848",240.5,"2,654",165.9,480,30,2016
SEA,16,"5,099",318.7,"3,612",225.8,"1,487",92.9,292,18.3,2016
TAM,16,"5,887",367.9,"4,012",250.8,"1,875",117.2,369,23.1,2016
WAS,16,"6,046",377.9,"4,130",258.1,"1,916",119.8,383,23.9,2016
CAR,16,"5,756",359.8,"4,291",268.2,"1,465",91.6,402,25.1,2016
JAX,16,"5,147",321.7,"3,444",215.3,"1,703",106.4,400,25,2016
BAL,16,"5,154",322.1,"3,724",232.8,"1,430",89.4,321,20.1,2016
HOU,16,"4,821",301.3,"3,226",201.6,"1,595",99.7,328,20.5,2016
ATL,16,"5,094",318.4,"3,429",214.3,"1,665",104.1,315,19.7,2017
BUF,16,"5,682",355.1,"3,688",230.5,"1,994",124.6,359,22.4,2017
CHI,16,"5,106",319.1,"3,376",211,"1,730",108.1,320,20,2017
CIN,16,"5,425",339.1,"3,379",211.2,"2,046",127.9,349,21.8,2017
CLE,16,"5,250",328.1,"3,684",230.3,"1,566",97.9,410,25.6,2017
DAL,16,"5,089",318.1,"3,425",214.1,"1,664",104,332,20.8,2017
DEN,16,"4,640",290,"3,210",200.6,"1,430",89.4,382,23.9,2017
DET,16,"5,692",355.8,"3,892",243.3,"1,800",112.5,376,23.5,2017
GNB,16,"5,582",348.9,"3,789",236.8,"1,793",112.1,384,24,2017
TEN,16,"5,248",328,"3,828",239.3,"1,420",88.8,356,22.3,2017
IND,16,"5,873",367.1,"3,946",246.6,"1,927",120.4,404,25.3,2017
KAN,16,"5,842",365.1,"3,952",247,"1,890",118.1,339,21.2,2017
LVR,16,"5,601",350.1,"3,858",241.1,"1,743",108.9,373,23.3,2017
